date,TSLA_first_hour_vol,mean,std,abs_sentiment_score,news_count,is_option_expiry,is_first_trading_day,is_last_trading_day,is_last_trading_day_of_quarter,Friday,Monday,Thursday,Tuesday,Wednesday,day_total_vol
6/28/2024,3.166359,0.164570658,0.290154339,0.218093521,5,0,0,1,1,1,0,0,0,0,86960533
7/1/2024,4.3334831,0.060769588,0.405156967,0.331199105,12,0,1,0,0,0,1,0,0,0,130167647
7/2/2024,7.3622009,0.170545128,0.380512231,0.330387232,38,0,0,0,0,0,0,0,1,0,195394088
7/3/2024,7.100354,0.106420418,0.396076663,0.298826188,37,0,0,0,0,0,0,0,0,1,145478723
7/5/2024,5.4276039,0.081350381,0.334320729,0.273767636,47,0,0,0,0,1,0,0,0,0,149063974
7/8/2024,3.9732723,0.100237788,0.319711804,0.256588974,19,0,0,0,0,0,1,0,0,0,153053933
7/9/2024,3.7588834,0.006762259,0.26199467,0.182209827,10,0,0,0,0,0,0,0,1,0,155741271
7/10/2024,3.8946579,0.336308035,0.386204605,0.419632294,15,0,0,0,0,0,0,0,0,1,124274939
7/11/2024,4.8198511,-0.180099613,0.29119414,0.294287444,12,0,0,0,0,0,0,1,0,0,209740290
7/12/2024,5.7459666,-0.058980412,0.331825295,0.265318236,27,0,0,0,0,1,0,0,0,0,151466823
7/15/2024,4.734852,0.040917224,0.326203672,0.24505836,23,0,0,0,0,0,1,0,0,0,139490857
7/16/2024,4.0692664,0.134675796,0.233833517,0.167812164,17,0,0,0,0,0,0,0,1,0,122716194
7/17/2024,3.5357246,-0.119867818,0.493928749,0.386882513,11,0,0,0,0,0,0,0,0,1,110125759
7/18/2024,2.9721071,0.017549109,0.300007413,0.223934974,11,0,0,0,0,0,0,1,0,0,105554091
7/19/2024,2.6175921,-0.021215873,0.343342871,0.26540235,7,1,0,0,0,1,0,0,0,0,83121598
7/22/2024,3.2664469,0.204721836,0.408431647,0.367362671,30,0,0,0,0,0,1,0,0,0,95035161
7/23/2024,3.0608719,0.166381155,0.234196155,0.212567441,24,0,0,0,0,0,0,0,1,0,89001410
7/24/2024,6.1891916,-0.134103073,0.356512005,0.280814072,76,0,0,0,0,0,0,0,0,1,155839465
7/25/2024,3.9538326,-0.186310796,0.485835372,0.405783791,27,0,0,0,0,0,0,1,0,0,95691315
7/26/2024,2.9794607,-0.203439806,0.367838234,0.348446416,18,0,0,0,0,1,0,0,0,0,89984623
7/29/2024,3.640987,0.20958341,0.335314561,0.331174869,22,0,0,0,0,0,1,0,0,0,123696491
7/30/2024,2.7811472,-0.113152675,0.440310899,0.3388683,20,0,0,0,0,0,0,0,1,0,95009820
7/31/2024,2.6163701,-0.066584285,0.455804816,0.358409934,17,0,0,1,0,0,0,0,0,1,61370461
8/1/2024,1.9562544,0.001982845,0.356315792,0.293005728,10,0,1,0,0,0,0,1,0,0,76928906
8/2/2024,2.2183815,-0.11563605,0.381869661,0.284956183,11,0,0,0,0,1,0,0,0,0,76558368
8/5/2024,4.0424313,-0.137280863,0.342392139,0.297164535,19,0,0,0,0,0,1,0,0,0,92944049
8/6/2024,2.4773593,-0.102885249,0.182258802,0.131251524,6,0,0,0,0,0,0,0,1,0,69641993
8/7/2024,2.0213739,-0.120654374,0.427077184,0.359988838,12,0,0,0,0,0,0,0,0,1,65117286
8/8/2024,1.85492,-0.045418943,0.27228608,0.18600478,19,0,0,0,0,0,0,1,0,0,60349351
8/9/2024,1.9575427,-0.149926356,0.084538854,0.149926356,3,0,0,0,0,1,0,0,0,0,56092654
8/12/2024,1.9474788,-0.272681345,0.331555937,0.323399598,15,0,0,0,0,0,1,0,0,0,58046106
8/13/2024,2.5880045,-0.176788259,0.375347608,0.323577217,18,0,0,0,0,0,0,0,1,0,71479988
8/14/2024,2.2552739,-0.263011768,0.314988182,0.366498855,12,0,0,0,0,0,0,0,0,1,66170957
8/15/2024,3.2402752,0.216526654,0.327512816,0.302004442,7,0,0,0,0,0,0,1,0,0,84363569
