Datetime,NVDA,AMZN,AAPL,TSLA,BAC
2024-02-15 13:30:00-05:00,3694241,3646220,5128374,14018797,3026183
2024-02-15 14:30:00-05:00,4022249,4403296,5376205,11762269,4481091
2024-02-15 15:30:00-05:00,3272555,5421197,11866107,13652658,5512668
2024-02-16 09:30:00-05:00,16443451,12998206,14074668,36686761,7392911
2024-02-16 10:30:00-05:00,6768419,7490356,5935048,15992329,4844534
2024-02-16 11:30:00-05:00,4572035,3962852,3563098,15553038,3003772
2024-02-16 12:30:00-05:00,4219312,3957034,3133873,11965426,2388000
2024-02-16 13:30:00-05:00,4926030,3185169,3501742,9900287,2567995
2024-02-16 14:30:00-05:00,4940793,4903771,4414931,10398016,2599385
2024-02-16 15:30:00-05:00,4978004,5880581,5087964,7519851,3549423
2024-02-20 09:30:00-05:00,24581853,10516612,11558221,31821711,6814519
2024-02-20 10:30:00-05:00,10541057,4804645,6406312,14437865,2437018
2024-02-20 11:30:00-05:00,7651911,3984429,5338226,13767617,1818741
2024-02-20 12:30:00-05:00,5561737,3334326,3708310,12139057,2114368
2024-02-20 13:30:00-05:00,5552768,2738193,3193463,10804365,1972982
2024-02-20 14:30:00-05:00,7421142,3510705,3858975,10080021,2444090
2024-02-20 15:30:00-05:00,5456405,4792844,6301252,7248757,4480458
2024-02-21 09:30:00-05:00,13298661,15381626,9104336,31916156,11604393
2024-02-21 10:30:00-05:00,5318878,4724713,4359759,17291793,4876334
2024-02-21 11:30:00-05:00,7946663,3750105,3729837,12162665,2580181
2024-02-21 12:30:00-05:00,5478248,3018610,3311637,11766447,2912949
2024-02-21 13:30:00-05:00,5470657,3295368,3555971,10969228,3540708
2024-02-21 14:30:00-05:00,8104741,3362106,3885929,8680950,4001211
2024-02-21 15:30:00-05:00,7182953,3690694,4689099,6905876,4146903
2024-02-22 09:30:00-05:00,38795056,14110080,11857133,25080297,8270681
2024-02-22 10:30:00-05:00,10529171,4451931,4961137,15039979,4280538
2024-02-22 11:30:00-05:00,7359895,6740165,3670959,11368761,4363856
2024-02-22 12:30:00-05:00,5508300,5926952,4935398,12830229,4077714
2024-02-22 13:30:00-05:00,5335014,4757197,4540628,8868916,3019513
2024-02-22 14:30:00-05:00,6922302,5427259,5171492,8371154,8262490
2024-02-22 15:30:00-05:00,6582620,6315936,7964831,6757081,5942217
2024-02-23 09:30:00-05:00,27888684,12563518,8567439,22848415,7689116
2024-02-23 10:30:00-05:00,17028128,6298626,5717230,12173116,4032797
2024-02-23 11:30:00-05:00,11111459,3519899,4001601,8404361,2919690
2024-02-23 12:30:00-05:00,6394801,2340523,6905673,9909803,2107325
2024-02-23 13:30:00-05:00,5191959,2735209,2955884,9216985,2023146
2024-02-23 14:30:00-05:00,6577690,3236039,4028588,7420957,2622974
2024-02-23 15:30:00-05:00,5502318,7529641,5352894,6255409,3786690
2024-02-26 09:30:00-05:00,17249471,10014376,8939120,31238191,7056115
2024-02-26 10:30:00-05:00,6189139,5716417,5659166,20727340,3234112
2024-02-26 11:30:00-05:00,5438356,3831944,3653300,17812335,2689764
2024-02-26 12:30:00-05:00,3966556,3077826,3721259,13379703,2590599
2024-02-26 13:30:00-05:00,5299396,3261632,3813825,9114767,3390739
2024-02-26 14:30:00-05:00,5862487,2769665,3361670,9975553,2139025
2024-02-26 15:30:00-05:00,3933486,3973763,4001708,6324319,3263457
2024-02-27 09:30:00-05:00,14829604,6803248,8245225,34902138,8985956
2024-02-27 10:30:00-05:00,4302284,3395598,3681857,15012545,7190179
2024-02-27 11:30:00-05:00,4711625,3162312,2764462,12264866,3579798
2024-02-27 12:30:00-05:00,4143598,3646493,3614103,15163084,4156726
2024-02-27 13:30:00-05:00,3397370,2874562,10154303,13519858,2990647
2024-02-27 14:30:00-05:00,3122546,2823693,12441282,9616992,3829239
2024-02-27 15:30:00-05:00,2567724,3077324,6563443,6333084,5541778
2024-02-28 09:30:00-05:00,12455975,6882030,11442944,30192577,7566877
2024-02-28 10:30:00-05:00,6079478,3391712,5720266,20692187,3921805
2024-02-28 11:30:00-05:00,5355832,2478065,6240997,12857169,3136975
2024-02-28 12:30:00-05:00,3233076,2512432,5735191,9438532,2765437
2024-02-28 13:30:00-05:00,2584919,2518931,3681788,9291830,3062432
2024-02-28 14:30:00-05:00,3361901,2509004,4490821,9589475,3440712
2024-02-28 15:30:00-05:00,2794577,2598757,5579634,4898985,6095750
2024-02-29 09:30:00-05:00,14019565,9457933,12685419,28276200,6512617
2024-02-29 10:30:00-05:00,5075589,3510542,7277897,14655480,3521133
2024-02-29 11:30:00-05:00,4843632,3660507,8149732,10060500,2750771
2024-02-29 12:30:00-05:00,3094226,2577034,7795890,6074078,2105337
2024-02-29 13:30:00-05:00,2924118,2342120,6547702,6668995,1983330
2024-02-29 14:30:00-05:00,2890914,2312680,6246756,5775801,2974592
2024-02-29 15:30:00-05:00,5385555,10243591,13220925,6496202,6500754
2024-03-01 09:30:00-05:00,9558052,4985822,11740393,15958936,8382735
2024-03-01 10:30:00-05:00,13632794,7155715,18570130,17865566,6926131
2024-03-01 11:30:00-05:00,6230382,2645911,8174326,11235160,3553908
2024-03-01 12:30:00-05:00,3397839,2713176,6896281,10961678,2566241
2024-03-01 13:30:00-05:00,4523162,2765791,7669052,9969421,2415899
2024-03-01 14:30:00-05:00,4096881,3125736,6521136,8269849,3050969
2024-03-01 15:30:00-05:00,3574458,3647622,5971790,5299727,4383576
2024-03-04 09:30:00-05:00,17164510,9608214,24053178,34943494,10018581
2024-03-04 10:30:00-05:00,0,31541,0,3394204,6659588
2024-03-04 11:30:00-05:00,3941861,2120741,5211390,13071554,6598613
2024-03-04 12:30:00-05:00,5327134,1684535,4979309,13521637,3869695
2024-03-04 13:30:00-05:00,4719049,1471473,4710827,9215318,3894763
2024-03-04 14:30:00-05:00,5585209,1685646,5373792,11744522,5201745
2024-03-04 15:30:00-05:00,22062982,13289094,28556373,42833382,6238606
2024-03-05 09:30:00-05:00,16033694,8084016,28565817,40668030,8109504
2024-03-05 10:30:00-05:00,7994638,4605370,11409729,18864117,4997398
2024-03-05 11:30:00-05:00,0,0,0,0,4253136
2024-03-05 12:30:00-05:00,3246168,1565743,4315788,7820470,3037493
2024-03-05 13:30:00-05:00,3280186,2104756,5130323,7734700,3981610
2024-03-05 14:30:00-05:00,3361057,2218856,5324135,7815241,5519096
2024-03-05 15:30:00-05:00,17089094,12992838,32406499,37490918,7315696
